Date,N20
Jan-01,316.3
Feb-01,316.2916203
Mar-01,316.27439
Apr-01,316.2943
May-01,316.3787655
Jun-01,316.4886851
Jul-01,316.6046854
Aug-01,316.7279071
Sep-01,316.8440919
Oct-01,316.9329029
Nov-01,316.9619355
Dec-01,316.9347244
Jan-02,316.9416816
Feb-02,316.9856794
Mar-02,317.0283777
Apr-02,317.1063275
May-02,317.2440052
Jun-02,317.4357824
Jul-02,317.5923276
Aug-02,317.6778611
Sep-02,317.7740777
Oct-02,317.8724334
Nov-02,317.885156
Dec-02,317.8416542
Jan-03,317.8198818
Feb-03,317.8636488
Mar-03,317.9942276
Apr-03,318.1335406
May-03,318.2265161
Jun-03,318.2487222
Jul-03,318.2430022
Aug-03,318.1937208
Sep-03,318.1759522
Oct-03,318.2044194
Nov-03,318.2921735
Dec-03,318.4213113
Jan-04,318.5358072
Feb-04,318.6647933
Mar-04,318.8367689
Apr-04,319.0555989
May-04,319.2376614
Jun-04,319.299847
Jul-04,319.3097101
Aug-04,319.2978896
Sep-04,319.2324951
Oct-04,319.141502
Nov-04,319.0520092
Dec-04,318.9628588
Jan-05,318.9406036
Feb-05,319.0542986
Mar-05,319.194508
Apr-05,319.3030506
May-05,319.3853512
Jun-05,319.4554399
Jul-05,319.5143788
Aug-05,319.5990388
Sep-05,319.6594666
Oct-05,319.7252247
Nov-05,319.7983354
Dec-05,319.8956378
Jan-06,319.9506324
Feb-06,319.9556142
Mar-06,319.9630154
Apr-06,320.058049
May-06,320.1667923
Jun-06,320.2180399
Jul-06,320.2936483
Aug-06,320.4040863
Sep-06,320.458746
Oct-06,320.455266
Nov-06,320.474669
Dec-06,320.5241411
Jan-07,320.5979838
Feb-07,320.6845911
Mar-07,320.7870829
Apr-07,320.9269738
May-07,321.0604895
Jun-07,321.1289707
Jul-07,321.1611077
Aug-07,321.2053648
Sep-07,321.3057091
Oct-07,321.4607518
Nov-07,321.5248585
Dec-07,321.4725097
Jan-08,321.5435978
Feb-08,321.7461599
Mar-08,321.9133201
Apr-08,322.0039871
May-08,322.134188
Jun-08,322.3038979
Jul-08,322.4429833
Aug-08,322.5038945
Sep-08,322.6172099
Oct-08,322.7794702
Nov-08,322.9227816
Dec-08,323.1594577
Jan-09,323.4055847
Feb-09,323.6182561
Mar-09,323.7845221
Apr-09,323.8553091
May-09,323.8839449
Jun-09,323.9380434
Jul-09,324.0454227
Aug-09,324.2255475
Sep-09,324.3724231
Oct-09,324.4650361
Nov-09,324.6000695
Dec-09,324.7931155
Jan-10,324.888196
Feb-10,324.8341019
Mar-10,324.7889582
Apr-10,324.8172285
May-10,324.8448542
Jun-10,324.8117571
Jul-10,324.829485
Aug-10,324.9998358
Sep-10,325.2539461
Oct-10,325.457529
Nov-10,325.6370942
Dec-10,325.8553865
Jan-11,326.0530112
Feb-11,326.1222968
Mar-11,326.1246714
Apr-11,326.1973191
May-11,326.2552135
Jun-11,326.2576713
Jul-11,326.3142444
Aug-11,326.4416425
Sep-11,326.4954555
Oct-11,326.470182
Nov-11,326.5077537
Dec-11,326.5726375
Jan-12,326.621967
Feb-12,326.6728265
Mar-12,326.791643
Apr-12,326.9813786
May-12,327.2107446
Jun-12,327.3831171
Jul-12,327.5302776
Aug-12,327.6815118
Sep-12,327.812105
Oct-12,327.9849997
Nov-12,328.1572529
Dec-12,328.2437752
Jan-13,328.2558238
Feb-13,328.2872161
Mar-13,328.3572719
Apr-13,328.412629
May-13,328.4574619
Jun-13,328.51696
Jul-13,328.5844163
Aug-13,328.6802408
Sep-13,328.8366364
Oct-13,328.9426638
Nov-13,328.9669318
Dec-13,328.9988479
Jan-14,329.0201885
Feb-14,329.0356111
Mar-14,329.1455372
Apr-14,329.337302
May-14,329.5007595
Jun-14,329.6094363
Jul-14,329.7034787
Aug-14,329.7199348
Sep-14,329.6809892
Oct-14,329.6767061
Nov-14,329.7250232
Dec-14,329.7920498
Jan-15,329.8973522
Feb-15,330.1082806
Mar-15,330.3085694
Apr-15,330.3915336
May-15,330.3850985
Jun-15,330.3901058
Jul-15,330.4136589
Aug-15,330.4635937
Sep-15,330.5656485
Oct-15,330.7073193
Nov-15,330.892521
Dec-15,331.0765167
Jan-16,331.2277672
Feb-16,331.3041301
Mar-16,331.2942557
Apr-16,331.2228559
May-16,331.1344098
Jun-16,331.0836228
Jul-16,331.0462613
Aug-16,331.0715427
Sep-16,331.2127824
Oct-16,331.4312853
Nov-16,331.6024757
Dec-16,331.7004315
Jan-17,331.8358382
Feb-17,331.9664649
Mar-17,332.0386135
Apr-17,332.0573837
May-17,332.1006725
Jun-17,332.1805383
Jul-17,332.1716765
Aug-17,332.0652298
Sep-17,331.9537169
Oct-17,331.8919702
Nov-17,331.9476506
Dec-17,332.0810679
Jan-18,332.1835308
Feb-18,332.2737652
Mar-18,332.4453545
Apr-18,332.6619837
May-18,332.8167355
Jun-18,332.9031056
Jul-18,332.9829325
Aug-18,333.033203
Sep-18,333.0362435
Oct-18,333.0277545
Nov-18,333.0757463
Dec-18,333.1664558
Jan-19,333.2777628
Feb-19,333.3894463
Mar-19,333.5170968
Apr-19,333.6021092
May-19,333.5572823
Jun-19,333.3948999
Jul-19,333.2366143
Aug-19,333.1986828
Sep-19,333.1968972
Oct-19,333.1439885
Nov-19,333.1319031
Dec-19,333.2530046
Jan-20,333.4391436
Feb-20,333.5107895
Mar-20,333.5305515
Apr-20,333.6367122
May-20,333.7160137
Jun-20,333.6713326
Jul-20,333.604766
Aug-20,333.5853753
Sep-20,333.5292661
Oct-20,333.4906394
Nov-20,333.5670723
Dec-20,333.7301557
Jan-21,333.9041803
Feb-21,334.0738991
Mar-21,334.2849413
Apr-21,334.4295896
May-21,334.4653074
Jun-21,334.4560949
Jul-21,334.4331266
Aug-21,334.4485822
Sep-21,334.4222858
Oct-21,334.4261218
Nov-21,334.5967174
Dec-21,334.878442
Jan-22,335.159158
Feb-22,335.3864383
Mar-22,335.6399167
Apr-22,335.8684067
May-22,335.9138658
Jun-22,335.8381021
Jul-22,335.7775782
Aug-22,335.7122866
Sep-22,335.5752772
Oct-22,335.5469963
Nov-22,335.6742458
Dec-22,335.8757336
Jan-23,336.0752501
Feb-23,336.2410146
Mar-23,336.3521723
Apr-23,336.3093643
May-23,336.1997852
Jun-23,336.1482835
Jul-23,336.1841432
Aug-23,336.231559
Sep-23,336.3771252
Oct-23,336.6333241
